,OBJECTID,StopID,Direction,Routes_ser,orig_bus_count,adj_bus_count
0,1,E00175,Inbound,"54, 88, 91",185,145
1,2,E00180,Inbound,54,58,45
2,3,E00270,Outbound,"54, 88, 91",185,145
3,4,E00420,Outbound,93,33,33
4,5,E00430,Outbound,93,33,33
5,6,E00500,Both,"64, 93",146,146
6,7,E00750,Outbound,59,19,19
7,8,E00910,Both,"28X, 71B, 71D",348,218
8,9,E00920,Both,"28X, 71B, 71D",348,218
9,10,E00950,Both,"28X, 71D",214,150
10,11,E00970,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3",922,568
11,12,E00975,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3",922,568
12,13,E00980,Both,"28X, 71B, 71D",348,218
13,14,E01000,Both,"28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 93, P3",1640,1100
14,15,E01010,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3",922,568
15,16,E01030,Outbound,"71A, 71B, 71C, 71D",265,136
16,17,E01040,Both,"54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83",1456,978
17,18,E01050,Both,"28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83, 93, P3",1770,1230
18,19,E01090,Both,"28X, 64, 71B, 71D",428,298
19,20,E01130,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3",922,568
20,21,E01140,Inbound,"71B, 71D, 75, P3",239,139
21,22,E01150,Outbound,"58, 71B, 71D, 75, P3",265,158
22,23,E01180,Inbound,"58, 81, 83, 93, P3",182,151
23,24,E01190,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",558,343
24,25,E01210,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3",922,568
25,26,E01225,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3",922,568
26,27,E01230,Inbound,P10,12,7
27,28,E01260,Both,"28X, 64, 71D",294,230
28,29,E01310,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",558,343
29,30,E01330,Inbound,"61A, 61B, 61C, 61D, 65, 67, 69, 71A, 71B, 71C, 71D",571,353
30,31,E01335,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3",922,568
31,32,E01350,Both,"28X, 64, 71B, 71D",428,298
32,33,E01360,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3",922,568
33,34,E01370,Both,"28X, 71D, 88",326,208
34,35,E01380,Outbound,71D,67,35
35,36,E01400,Both,"54, 71A, 71B, 71C, 71D, 75",740,434
36,37,E01410,Inbound,"71B, 71D",134,69
37,38,E01420,Outbound,"58, 71B, 71D",160,88
38,39,E01440,Outbound,"71A, 71B, 71C, 71D",265,136
39,40,E01450,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",558,343
40,41,E01460,Both,"28X, 71B, 71D",348,218
41,42,E01470,Both,"28X, 71B, 71D",348,218
42,43,E01480,Inbound,"71B, 71D",134,69
43,44,E01500,Outbound,"58, 71B, 71D",160,88
44,45,E01540,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D",558,343
45,46,E01550,Both,"93, P3",182,134
46,47,E01560,Both,"54, 71A, 71B, 71C, 71D, 75, P3",856,502
47,48,E01570,Both,"54, 71A, 71B, 71C, 71D, 75",740,434
48,49,E01640,Outbound,"71A, 71B, 71C, 71D",265,136
49,50,E01650,Both,"28X, 71D",214,150
50,51,E01660,Both,"28X, 64, 71D",294,230
