OBJECTID,StopID,Direction,Routes_ser
1,E00175,Inbound,"54, 88, 91"
2,E00180,Inbound,54
3,E00270,Outbound,"54, 88, 91"
4,E00420,Outbound,93
5,E00430,Outbound,93
6,E00500,Both,"64, 93"
7,E00750,Outbound,59
8,E00910,Both,"28X, 71B, 71D"
9,E00920,Both,"28X, 71B, 71D"
10,E00950,Both,"28X, 71D"
11,E00970,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
12,E00975,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
13,E00980,Both,"28X, 71B, 71D"
14,E01000,Both,"28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 93, P3"
15,E01010,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
16,E01030,Outbound,"71A, 71B, 71C, 71D"
17,E01040,Both,"54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83"
18,E01050,Both,"28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83, 93, P3"
19,E01090,Both,"28X, 64, 71B, 71D"
20,E01130,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
21,E01140,Inbound,"71B, 71D, 75, P3"
22,E01150,Outbound,"58, 71B, 71D, 75, P3"
23,E01180,Inbound,"58, 81, 83, 93, P3"
24,E01190,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
25,E01210,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
26,E01225,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
27,E01230,Inbound,P10
28,E01260,Both,"28X, 64, 71D"
29,E01310,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
30,E01330,Inbound,"61A, 61B, 61C, 61D, 65, 67, 69, 71A, 71B, 71C, 71D"
31,E01335,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
32,E01350,Both,"28X, 64, 71B, 71D"
33,E01360,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
34,E01370,Both,"28X, 71D, 88"
35,E01380,Outbound,71D
36,E01400,Both,"54, 71A, 71B, 71C, 71D, 75"
37,E01410,Inbound,"71B, 71D"
38,E01420,Outbound,"58, 71B, 71D"
39,E01440,Outbound,"71A, 71B, 71C, 71D"
40,E01450,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
41,E01460,Both,"28X, 71B, 71D"
42,E01470,Both,"28X, 71B, 71D"
43,E01480,Inbound,"71B, 71D"
44,E01500,Outbound,"58, 71B, 71D"
45,E01540,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
46,E01550,Both,"93, P3"
