place_id,route_id,dir_id,max_load,median_load,avg_total_ons,avg_total_offs
10005,Y47,INBOUND,17,4,12,2.5
10016,51,OUTBOUND,66,7,21.27777778,28.77777778
10016,51L,OUTBOUND,18,5,4,5.333333333
10018,51,OUTBOUND,66,7,4.833333333,15.77777778
10018,51L,OUTBOUND,18,5,0.555555556,0.888888889
10019,51,OUTBOUND,66,6,6.333333333,20.94444444
10019,51L,OUTBOUND,18,5,0.555555556,4.555555556
10022,51,OUTBOUND,66,6,5.777777778,25.77777778
10022,51L,OUTBOUND,18,5,0.555555556,2.055555556
10023,51,OUTBOUND,66,6,13.44444444,48.77777778
10023,51L,OUTBOUND,18,4,0.222222222,2.944444444
10025,51,OUTBOUND,66,5,7.111111111,33.27777778
10026,51,OUTBOUND,66,5,19.77777778,50.16666667
10026,51L,OUTBOUND,17,4,0.777777778,2.888888889
10027,51,OUTBOUND,66,5,19.61111111,37.22222222
10027,51L,OUTBOUND,17,4,1.444444444,2.555555556
10028,51,OUTBOUND,66,5,4.777777778,5
10029,51,OUTBOUND,66,5,3.555555556,13.05555556
10029,51L,OUTBOUND,17,4,0.222222222,1.555555556
10030,51,OUTBOUND,66,5,4,21.88888889
10030,51L,OUTBOUND,17,4,0.055555556,0.777777778
10032,51,OUTBOUND,66,4,7.555555556,34.94444444
10033,51,OUTBOUND,66,4,20.61111111,62.66666667
10033,51L,OUTBOUND,15,3,0.611111111,5.722222222
10035,51,OUTBOUND,66,4,1.111111111,1.722222222
10035,Y47,OUTBOUND,13,3,0.166666667,2.277777778
10038,51,OUTBOUND,66,4,0.166666667,4.666666667
10038,Y47,OUTBOUND,13,3,0,0.722222222
1007,13,OUTBOUND,23,3,0.111111111,0.666666667
10075,55,OUTBOUND,21,5,0,0
10078,Y47,INBOUND,9,0,0.277777778,0
10078,Y49,INBOUND,13,0,0.166666667,0
1008,13,OUTBOUND,23,3,0,0.555555556
1009,13,OUTBOUND,23,3,0.055555556,1.833333333
1010,13,OUTBOUND,23,3,0.166666667,1
1011,13,OUTBOUND,20,3,0.5,12.83333333
10115,51,INBOUND,56,3,1.722222222,1.444444444
10115,Y47,INBOUND,15,2,0.277777778,0.111111111
10120,56,INBOUND,25,7,1.388888889,0.388888889
10127,75,OUTBOUND,14,2,6.055555556,0.166666667
10128,75,OUTBOUND,15,2,5.277777778,0.5
10129,55,INBOUND,18,3,0.666666667,0.333333333
10129,55,OUTBOUND,21,5,0.333333333,1.666666667
10129,Y47,INBOUND,9,0,15,0.055555556
